City,Town,Count,households,population,time,households_per_count,population_per_count,Dispersion,SpatialEntropy
新北市,三峽區,430,46754,115335,113Y12M,108.73023255813953,268.22093023255815,0.015367544569138495,2.201003961300608
新北市,三芝區,35,10090,22080,113Y12M,288.2857142857143,630.8571428571429,0.025315015345506515,2.3368787445599906
新北市,三重區,836,165752,383355,113Y12M,198.26794258373207,458.5586124401914,0.01763463170147806,3.8192054490992473
新北市,中和區,871,177153,405956,113Y12M,203.39035591274398,466.0803673938002,0.01953232330125144,3.741302937646835
新北市,五股區,399,39187,93860,113Y12M,98.21303258145363,235.23809523809524,0.01646973235754742,2.796088880091732
新北市,八里區,101,18446,42674,113Y12M,182.63366336633663,422.51485148514854,0.027305820236366685,2.7227176374537936
新北市,土城區,582,97113,241224,113Y12M,166.86082474226805,414.4742268041237,0.02395079862880492,3.4701610066319692
新北市,坪林區,5,2560,6324,113Y12M,512.0,1264.8,0.0016272817797134884,1.6094379124341005
新北市,平溪區,1,2126,4049,113Y12M,2126.0,4049.0,0.0,0.0
新北市,新店區,780,138508,306571,113Y12M,177.57435897435897,393.0397435897436,0.025610097291254012,2.97907143003576
新北市,新莊區,991,171874,423503,113Y12M,173.43491422805246,427.34914228052475,0.02666917712197214,3.3486106338688195
新北市,板橋區,1078,231201,553538,113Y12M,214.4721706864564,513.4860853432282,0.023339010479172532,3.5504803578233894
新北市,林口區,165,57446,136075,113Y12M,348.1575757575758,824.6969696969697,0.021141862969994644,2.105116903237733
新北市,樹林區,375,69770,178981,113Y12M,186.05333333333334,477.28266666666667,0.02835854838196281,3.226362648778418
新北市,永和區,588,93645,213742,113Y12M,159.26020408163265,363.50680272108843,0.009956129579912371,3.790972480617405
新北市,汐止區,633,97707,210817,113Y12M,154.35545023696682,333.044233807267,0.023407450543840153,2.9405918610262614
新北市,泰山區,176,30839,77667,113Y12M,175.2215909090909,441.28977272727275,0.014899394164976354,3.112296588925867
新北市,淡水區,456,96988,200726,113Y12M,212.69298245614036,440.18859649122805,0.029501849506918996,2.9641237294046006
新北市,深坑區,49,10239,23636,113Y12M,208.9591836734694,482.3673469387755,0.012685763924846155,2.703114969338313
新北市,烏來區,3,1911,6309,113Y12M,637.0,2103.0,0.002447865830530477,1.0986122886681096
新北市,瑞芳區,74,16042,36330,113Y12M,216.78378378378378,490.94594594594594,0.01706459501796085,2.1179905574871247
新北市,石碇區,3,3340,7068,113Y12M,1113.3333333333333,2356.0,0.039557824903688976,0.6365141682948128
新北市,石門區,11,4250,10397,113Y12M,386.3636363636364,945.1818181818181,0.024578540889974927,1.7677614722893296
新北市,萬里區,26,7728,20622,113Y12M,297.2307692307692,793.1538461538462,0.022006864125820202,2.314774465244861
新北市,蘆洲區,459,76666,198359,113Y12M,167.02832244008715,432.15468409586055,0.011689367167029511,3.9390275868756226
新北市,貢寮區,6,4240,10719,113Y12M,706.6666666666666,1786.5,0.014785927613956336,1.242453324894
新北市,金山區,38,7414,20059,113Y12M,195.10526315789474,527.8684210526316,0.018011656700638107,2.206417454486051
新北市,雙溪區,3,3532,7686,113Y12M,1177.3333333333333,2562.0,0.004034682671280062,1.0986122886681096
新北市,鶯歌區,216,35294,89339,113Y12M,163.39814814814815,413.60648148148147,0.01575926433515333,2.985846070591455
