旅遊景點,lat,lon,AED_5km,警消_5km,防空疏散地點_5km,避難收容所_5km
鼻頭港服務區,25.121784,121.9196,4,0,1,4
龍洞灣公園,25.129601,121.73812,4,1,4,1
龍洞南口海洋公園,25.129601,121.73812,4,1,4,1
福隆遊客服務中心,25.01674,121.94496,16,1,6,13
龍門露營區,25.036139,121.928314,17,1,6,13
鹽寮海濱公園,25.12532,121.83054,31,3,60,21
鼻頭角步道,25.121784,121.9196,4,0,1,4
舊草嶺隧道,25.003941,121.958347,9,0,1,7
草嶺古道系統(含遠望坑親水公園),25.129601,121.73812,4,1,4,1
福隆蔚藍海岸,25.01674,121.94496,16,1,6,13
野柳地質公園,25.203846,121.68766,23,1,27,14
白沙灣,25.283229,121.52064,32,2,31,15
翡翠灣濱海遊憩區,25.111145,121.2678,1,1,3,2
觀音山,25.11919,121.411032,80,6,273,26
野柳海洋世界,25.203846,121.68766,23,1,27,14
金山遊憩區,25.07772,121.853896,28,1,6,14
三芝遊憩區,25.259256,121.502495,27,3,34,9
烏來風景特定區,24.86466,121.551895,16,1,3,5
碧潭風景特定區,25.011997,121.465662,612,85,4802,140
瑞芳風景特定區,25.108543,121.80583,34,4,73,19
滿月圓國家森林遊樂區,24.836125,121.445183,2,0,0,1
內洞國家森林遊樂區,24.833849,121.525587,10,1,3,4
坪林茶業博物館,24.935179,121.710526,10,1,5,9
新北市立鶯歌陶瓷博物館,25.1608,121.406643,100,8,365,30
新北市立十三行博物館,25.1608,121.406643,100,8,365,30
新北市黃金博物園區,25.016165,121.46311,629,81,4860,146
新北市客家文化園區,24.942015,121.360555,102,8,718,34
朱銘美術館,25.011997,121.465662,612,85,4802,140
林本源園邸( 林家花園),24.934069,121.55281,80,5,344,26
三峽歷史文物館,24.935263,121.373474,102,7,727,33
清水祖師廟,25.022508,121.822114,17,1,3,11
法鼓山世界佛教教育園區,25.059283,121.611704,571,64,3967,99
十分瀑布,25.04378,121.77849,12,0,1,9
十分旅遊服務中心,25.04378,121.77849,12,0,1,9
淡水漁人碼頭,25.172283,121.44501,116,12,501,40
猴硐煤礦博物園區,25.089075,121.83082,34,3,68,23
雲仙樂園,25.011997,121.465662,612,85,4802,140
大板根森林溫泉渡假村,25.13338,121.5024,325,23,4507,73
淡水紅毛城,25.07087,121.664406,92,13,815,28
滬尾砲臺,25.016165,121.46311,629,81,4860,146
前清淡水關稅務司官邸,25.172283,121.44501,116,12,501,40
鶯歌老街,24.953703,121.350746,95,5,693,30
三峽老街,24.932822,121.369303,95,7,691,32
八里左岸公園,25.129601,121.73812,4,1,4,1
淡水金色水岸,25.16658,121.44633,125,12,620,44
水湳洞遊客中心,24.955901,121.787849,1,0,0,1
林口三井Outlet,25.077291,121.392944,97,15,347,47
鼻頭龍洞遊憩區,25.121784,121.9196,4,0,1,4
鹽寮福隆遊憩區,25.01674,121.94496,16,1,6,13
烏來風景特定區,24.86466,121.551895,16,1,3,5
碧潭風景特定區,25.011997,121.465662,612,85,4802,140
瑞芳風景特定區,25.108543,121.80583,34,4,73,19
滿月圓國家森林遊樂區,24.836125,121.445183,2,0,0,1
內洞國家森林遊樂區,24.833849,121.525587,10,1,3,4
坪林茶業博物館,24.935179,121.710526,10,1,5,9
新北市立鶯歌陶瓷博物館,25.1608,121.406643,100,8,365,30
新北市立十三行博物館,25.1608,121.406643,100,8,365,30
新北市黃金博物園區,25.016165,121.46311,629,81,4860,146
新北市客家文化園區,24.942015,121.360555,102,8,718,34
朱銘美術館,25.011997,121.465662,612,85,4802,140
林本源園邸(林家花園),24.934069,121.55281,80,5,344,26
三峽歷史文物館,24.935263,121.373474,102,7,727,33
清水祖師廟,25.022508,121.822114,17,1,3,11
法鼓山世界佛教教育園區,25.059283,121.611704,571,64,3967,99
十分瀑布,25.04378,121.77849,12,0,1,9
十分旅遊服務中心,25.04378,121.77849,12,0,1,9
淡水漁人碼頭,25.172283,121.44501,116,12,501,40
猴硐煤礦博物園區,25.089075,121.83082,34,3,68,23
水湳洞遊客中心,24.955901,121.787849,1,0,0,1
林口三井Outlet,25.077291,121.392944,97,15,347,47
雲仙樂園,25.011997,121.465662,612,85,4802,140
大板根森林溫泉渡假村,25.13338,121.5024,325,23,4507,73
淡水紅毛城,25.07087,121.664406,92,13,815,28
滬尾砲臺,25.016165,121.46311,629,81,4860,146
前清淡水關稅務司官邸,25.172283,121.44501,116,12,501,40
鶯歌老街,24.953703,121.350746,95,5,693,30
三峽老街,24.932822,121.369303,95,7,691,32
八里左岸公園,25.129601,121.73812,4,1,4,1
淡水金色水岸,25.16658,121.44633,125,12,620,44
鼻頭龍洞遊憩區,25.121784,121.9196,4,0,1,4
鹽寮福隆遊憩區,25.01674,121.94496,16,1,6,13
野柳地質公園,25.203846,121.68766,23,1,27,14
白沙灣,25.283229,121.52064,32,2,31,15
翡翠灣濱海遊憩區,25.111145,121.2678,1,1,3,2
觀音山,25.11919,121.411032,80,6,273,26
野柳海洋世界,25.203846,121.68766,23,1,27,14
金山遊憩區,25.07772,121.853896,28,1,6,14
三芝遊憩區,25.259256,121.502495,27,3,34,9
新北市坪林茶業博物館,25.1608,121.406643,100,8,365,30
新北市立黃金博物館,25.1608,121.406643,100,8,365,30
林本源園邸(林家花園) ,24.934069,121.55281,80,5,344,26
十分遊客中心,25.04378,121.77849,12,0,1,9
大板根森林溫泉酒店,24.97521,121.540565,498,41,3590,116
滬尾礮臺,25.016165,121.46311,629,81,4860,146
前清淡水關稅務司官邸 (小白宮),25.172283,121.44501,116,12,501,40
